('Total Revenue', '245,122,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         752101 function calls (734045 primitive calls) in 1.731 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 errors.py:1(<module>)
       41    0.000    0.000    0.000    0.000 response.py:1120(_update_chunk_length)
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
        1    0.000    0.000    0.003    0.003 parse.py:1(<module>)
        1    0.000    0.000    0.005    0.005 ssl.py:1(<module>)
       40    0.000    0.000    0.008    0.000 response.py:465(_decode)
        1    0.000    0.000    0.000    0.000 connection.py:84(HTTPConnection)
       61    0.000    0.000    0.178    0.003 client.py:633(_safe_read)
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
        2    0.000    0.000    0.002    0.001 cookies.py:1(<module>)
       48    0.000    0.000    0.001    0.000 typing.py:1458(copy_with)
        7    0.000    0.000    0.002    0.000 typing.py:2761(_make_nmtuple)
  136/131    0.000    0.000    0.001    0.000 css_parser.py:375(_freeze_relations)
    38/29    0.000    0.000    0.010    0.000 css_parser.py:732(parse_pseudo_open)
       10    0.000    0.000    0.001    0.000 {method 'decode' of 'bytearray' objects}
      450    0.000    0.000    0.000    0.000 typing.py:935(__eq__)
      254    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
      176    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      223    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 status_codes.py:109(_init)
        1    0.000    0.000    1.178    1.178 sessions.py:673(send)
       69    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
       20    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1644(_fill_cache)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1567(__init__)
       43    0.000    0.000    0.000    0.000 typing.py:1178(__getattr__)
       34    0.000    0.000    0.000    0.000 ipaddress.py:2238(__init__)
      210    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
      189    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
       90    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        3    0.000    0.000    0.018    0.006 response.py:1(<module>)
        2    0.000    0.000    0.017    0.008 connection.py:1(<module>)
        2    0.000    0.000    0.007    0.004 models.py:1(<module>)
       22    0.000    0.000    0.000    0.000 util.py:16(lower)
       55    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        1    0.000    0.000    0.060    0.060 connection.py:835(_ssl_wrap_socket_and_match_hostname)
       54    0.000    0.000    0.000    0.000 enum.py:785(__delattr__)
        1    0.000    0.000    0.000    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
      189    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
      227    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
        1    0.000    0.000    0.002    0.002 pathlib.py:1(<module>)
        2    0.000    0.000    0.041    0.020 exceptions.py:1(<module>)
       54    0.000    0.000    0.001    0.000 typing.py:885(__init__)
       53    0.000    0.000    0.000    0.000 _compiler.py:407(_generate_overlap_table)
      256    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        6    0.000    0.000    0.001    0.000 cookiejar.py:949(set_ok)
        4    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
