('Total Revenue', '245,122,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         760919 function calls (744248 primitive calls) in 1.596 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      2/1    0.000    0.000    0.001    0.001 threading.py:1056(_bootstrap_inner)
       50    0.000    0.000    0.001    0.000 streams.py:503(_read_nowait)
      988    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      251    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:982(find_spec)
      437    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
       20    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1456(_path_hooks)
      440    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
       98    0.000    0.000    0.001    0.000 streams.py:400(readany)
       71    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
      438    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
      439    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
